City,Country,Latitude,Longitude,Timestamp_UTC,Temperature_C,Wind_KPH,Condition,AQI_US,CO,NO2,O3,PM2.5
Dar Es Salaam,Tanzania,-6.8,39.2833,1764236700,32.1,13.7,Partly cloudy,1.0,122.85,2.45,62.0,7.95
Kampala,Uganda,0.3156,32.5656,1764236700,30.2,12.6,Sunny,2.0,503.85,3.05,70.0,17.15
Algiers,Algeria,36.7631,3.0506,1764236700,13.3,19.1,Partly cloudy,1.0,208.85,31.25,50.0,7.25
Lagos,Nigeria,6.4531,3.3958,1764251100,30.2,19.8,Partly cloudy,2.0,469.85,3.15,100.0,17.95
Accra,Ghana,5.55,-0.2167,1764251100,31.3,22.0,Partly cloudy,1.0,214.85,1.85,82.0,9.65
Nairobi,Kenya,-1.2833,36.8167,1764251100,24.2,20.5,Partly cloudy,1.0,214.85,1.85,81.0,5.15
Johannesburg,South Africa,-26.2,28.0833,1764251100,21.5,15.1,Patchy rain nearby,2.0,283.85,7.15,178.0,20.85
Cairo,Egypt,30.05,31.25,1764251100,25.4,13.3,Sunny,1.0,175.85,13.85,93.0,9.75
Casablanca,Morocco,33.5931,-7.6164,1764251100,18.3,15.5,Sunny,1.0,136.85,5.55,74.0,9.15
Addis Ababa,Ethiopia,9.0333,38.7,1764251100,21.4,7.2,Partly cloudy,2.0,201.85,1.15,94.0,20.05
Dar Es Salaam,Tanzania,-6.8,39.2833,1764251100,32.4,18.4,Sunny,1.0,117.85,1.85,82.0,6.25
Kampala,Uganda,0.3156,32.5656,1764251100,27.1,6.8,Patchy rain nearby,1.0,221.85,1.35,89.0,9.65
Algiers,Algeria,36.7631,3.0506,1764251100,15.0,14.4,Partly cloudy,1.0,135.85,6.15,82.0,4.55
Lagos,Nigeria,6.4531,3.3958,1764378000,27.9,14.8,Partly Cloudy,2.0,372.85,15.65,43.0,21.45
Accra,Ghana,5.55,-0.2167,1764378000,26.6,12.2,Partly Cloudy,1.0,274.85,17.45,37.0,11.85
Nairobi,Kenya,-1.2833,36.8167,1764378000,14.9,8.3,Partly Cloudy,1.0,297.85,10.25,36.0,14.85
Johannesburg,South Africa,-26.2,28.0833,1764378000,14.5,11.5,Patchy rain nearby,2.0,351.85,20.35,50.0,17.95
Cairo,Egypt,30.05,31.25,1764378000,18.0,3.6,Cloudy,2.0,603.85,77.35,9.0,24.95
Casablanca,Morocco,33.5931,-7.6164,1764378000,15.2,4.7,Clear,2.0,188.85,25.15,36.0,19.35
Addis Ababa,Ethiopia,9.0333,38.7,1764378000,10.3,3.6,Clear,2.0,575.85,7.25,44.0,23.35
Dar Es Salaam,Tanzania,-6.8,39.2833,1764378000,24.5,7.2,Partly Cloudy,1.0,105.85,5.75,29.0,7.15
Kampala,Uganda,0.3156,32.5656,1764378000,21.1,3.6,Partly Cloudy,3.0,402.85,13.85,48.0,49.55
Algiers,Algeria,36.7631,3.0506,1764378000,11.7,6.8,Clear,1.0,184.85,28.75,43.0,8.45
Lagos,Nigeria,6.4531,3.3958,1764551700,27.8,14.8,Clear,1.0,333.85,6.75,48.0,14.45
Accra,Ghana,5.55,-0.2167,1764551700,26.8,14.0,Cloudy,1.0,261.85,11.25,38.0,9.05
Nairobi,Kenya,-1.2833,36.8167,1764551700,15.1,15.5,Clear,1.0,248.85,6.15,55.0,10.75
Johannesburg,South Africa,-26.2,28.0833,1764551700,15.1,16.2,Patchy rain nearby,1.0,175.85,8.95,70.0,14.15
Cairo,Egypt,30.05,31.25,1764551700,15.1,7.2,Clear,2.0,395.85,57.55,8.0,38.85
Casablanca,Morocco,33.5931,-7.6164,1764551700,14.8,12.6,Clear,1.0,134.85,11.35,58.0,6.25
Addis Ababa,Ethiopia,9.0333,38.7,1764551700,8.3,3.6,Clear,2.0,752.85,8.25,43.0,25.55
Dar Es Salaam,Tanzania,-6.8,39.2833,1764551700,25.8,11.9,Patchy rain nearby,1.0,125.85,3.15,49.0,11.55
Kampala,Uganda,0.3156,32.5656,1764551700,21.2,3.6,Clear,2.0,355.85,9.35,50.0,32.15
Algiers,Algeria,36.7631,3.0506,1764551700,14.9,5.0,Partly Cloudy,1.0,253.85,55.25,17.0,13.05
Lagos,Nigeria,6.4531,3.3958,1764723600,27.8,18.4,Cloudy,1.0,298.85,8.75,45.0,14.85
Accra,Ghana,5.55,-0.2167,1764723600,26.4,19.4,Patchy rain nearby,1.0,199.85,7.15,42.0,8.75
Nairobi,Kenya,-1.2833,36.8167,1764723600,17.1,11.5,Partly Cloudy,1.0,273.85,6.05,54.0,13.25
Johannesburg,South Africa,-26.2,28.0833,1764723600,14.7,5.8,Clear,3.0,362.85,52.05,14.0,41.95
Cairo,Egypt,30.05,31.25,1764723600,15.9,15.1,Clear,2.0,276.85,37.65,39.0,18.95
Casablanca,Morocco,33.5931,-7.6164,1764723600,16.4,16.6,Cloudy,1.0,152.85,9.15,68.0,8.55
Addis Ababa,Ethiopia,9.0333,38.7,1764723600,9.1,4.7,Clear,2.0,655.85,9.15,45.0,28.55
Dar Es Salaam,Tanzania,-6.8,39.2833,1764723600,25.4,10.8,Patchy rain nearby,1.0,135.85,3.45,47.0,10.95
Kampala,Uganda,0.3156,32.5656,1764723600,19.9,3.6,Clear,2.0,572.85,10.65,49.0,33.35
Algiers,Algeria,36.7631,3.0506,1764723600,14.5,14.0,Patchy rain nearby,1.0,171.85,21.95,40.0,11.35
Lagos,Nigeria,6.4531,3.3958,1764896400,28.1,14.8,Partly Cloudy,2.0,370.85,15.85,38.0,21.25
Accra,Ghana,5.55,-0.2167,1764896400,26.8,13.0,Clear,2.0,241.85,21.25,38.0,21.85
Nairobi,Kenya,-1.2833,36.8167,1764896400,14.0,11.5,Partly Cloudy,1.0,274.85,6.95,44.0,14.25
Johannesburg,South Africa,-26.2,28.0833,1764896400,14.8,12.6,Clear,2.0,286.85,24.95,52.0,23.95
Cairo,Egypt,30.05,31.25,1764896400,20.0,10.4,Clear,2.0,256.85,43.65,31.0,21.65
Casablanca,Morocco,33.5931,-7.6164,1764896400,13.9,11.2,Clear,2.0,207.85,19.75,38.0,18.85
Addis Ababa,Ethiopia,9.0333,38.7,1764896400,12.1,3.6,Clear,2.0,578.85,10.15,46.0,27.35
Dar Es Salaam,Tanzania,-6.8,39.2833,1764896400,25.3,9.4,Clear,1.0,131.85,5.75,29.0,10.95
Kampala,Uganda,0.3156,32.5656,1764896400,19.6,6.1,Clear,2.0,433.85,10.95,60.0,33.55
Algiers,Algeria,36.7631,3.0506,1764896400,14.9,41.8,Light rain shower,1.0,126.85,5.45,74.0,4.45
Lagos,Nigeria,6.4531,3.3958,1765069200,27.9,17.3,Clear,2.0,336.85,13.35,51.0,26.45
Accra,Ghana,5.55,-0.2167,1765069200,27.3,15.8,Cloudy,1.0,248.85,11.45,42.0,14.45
Nairobi,Kenya,-1.2833,36.8167,1765069200,14.0,12.2,Partly Cloudy,1.0,309.85,6.45,43.0,10.55
Johannesburg,South Africa,-26.2,28.0833,1765069200,19.4,15.1,Clear,2.0,280.85,29.35,85.0,29.15
Cairo,Egypt,30.05,31.25,1765069200,13.6,9.0,Clear,2.0,295.85,50.85,12.0,28.25
Casablanca,Morocco,33.5931,-7.6164,1765069200,14.6,10.8,Cloudy,2.0,164.85,11.85,41.0,16.45
Addis Ababa,Ethiopia,9.0333,38.7,1765069200,10.4,5.8,Clear,2.0,454.85,6.25,44.0,19.15
Dar Es Salaam,Tanzania,-6.8,39.2833,1765069200,25.6,7.2,Patchy rain nearby,1.0,100.85,5.15,18.0,4.55
Kampala,Uganda,0.3156,32.5656,1765069200,19.0,3.6,Patchy rain nearby,2.0,436.85,10.95,43.0,31.25
Algiers,Algeria,36.7631,3.0506,1765069200,15.3,7.6,Clear,1.0,193.85,42.55,25.0,9.05
Lagos,Nigeria,6.4531,3.3958,1765242000,28.2,17.3,Partly Cloudy,2.0,418.85,14.65,49.0,24.95
Accra,Ghana,5.55,-0.2167,1765242000,27.3,11.9,Clear,1.0,216.85,10.15,40.0,9.45
Nairobi,Kenya,-1.2833,36.8167,1765242000,13.5,11.5,Partly Cloudy,1.0,285.85,7.55,42.0,10.25
Johannesburg,South Africa,-26.2,28.0833,1765242000,17.9,4.0,Clear,2.0,343.85,50.45,51.0,34.15
Cairo,Egypt,30.05,31.25,1765242000,13.9,13.7,Clear,2.0,212.85,24.65,40.0,23.85
Casablanca,Morocco,33.5931,-7.6164,1765242000,15.6,8.3,Clear,2.0,239.85,23.75,23.0,26.45
Addis Ababa,Ethiopia,9.0333,38.7,1765242000,11.4,3.6,Clear,2.0,536.85,6.85,46.0,20.05
Dar Es Salaam,Tanzania,-6.8,39.2833,1765242000,25.4,7.6,Patchy rain nearby,1.0,93.85,7.25,16.0,6.65
Kampala,Uganda,0.3156,32.5656,1765242000,18.3,5.0,Clear,3.0,457.85,14.75,44.0,44.35
Algiers,Algeria,36.7631,3.0506,1765242000,15.9,4.3,Cloudy,2.0,278.85,58.95,1.0,16.45
Lagos,Nigeria,6.4531,3.3958,1765414800,27.8,18.7,Patchy rain nearby,2.0,359.85,11.75,45.0,19.55
Accra,Ghana,5.55,-0.2167,1765414800,26.9,10.8,Clear,1.0,273.85,8.95,43.0,8.65
Nairobi,Kenya,-1.2833,36.8167,1765414800,14.5,11.9,Partly Cloudy,2.0,277.85,9.65,36.0,16.35
Johannesburg,South Africa,-26.2,28.0833,1765414800,16.6,10.8,Patchy rain nearby,1.0,146.85,20.45,37.0,9.45
Cairo,Egypt,30.05,31.25,1765414800,14.2,10.8,Partly Cloudy,2.0,326.85,45.05,11.0,20.65
Casablanca,Morocco,33.5931,-7.6164,1765414800,14.0,5.8,Patchy rain nearby,1.0,134.85,7.65,53.0,7.75
Addis Ababa,Ethiopia,9.0333,38.7,1765414800,12.0,3.6,Clear,2.0,659.85,7.05,54.0,21.15
Dar Es Salaam,Tanzania,-6.8,39.2833,1765414800,26.4,11.5,Patchy rain nearby,1.0,107.85,5.75,17.0,7.65
Kampala,Uganda,0.3156,32.5656,1765414800,19.0,3.6,Clear,3.0,568.85,14.95,41.0,49.85
Algiers,Algeria,36.7631,3.0506,1765414800,15.3,4.7,Clear,2.0,374.85,69.25,1.0,21.85
Lagos,Nigeria,6.4531,3.3958,1765591200,27.6,15.1,Clear,2.0,425.85,15.25,43.0,30.55
Accra,Ghana,5.55,-0.2167,1765591200,26.5,11.5,Clear,1.0,301.85,16.65,37.0,11.85
Nairobi,Kenya,-1.2833,36.8167,1765591200,17.2,9.4,Mist,1.0,308.85,9.05,40.0,13.45
Johannesburg,South Africa,-26.2,28.0833,1765591200,17.3,4.3,Patchy rain nearby,1.0,267.85,15.45,44.0,11.95
Cairo,Egypt,30.05,31.25,1765591200,14.1,5.8,Clear,2.0,298.85,43.05,8.0,26.45
Casablanca,Morocco,33.5931,-7.6164,1765591200,11.4,11.2,Partly cloudy,1.0,138.85,6.75,59.0,9.25
Addis Ababa,Ethiopia,9.0333,38.7,1765591200,11.0,3.6,Clear,2.0,795.85,7.95,41.0,21.85
Dar Es Salaam,Tanzania,-6.8,39.2833,1765591200,25.4,6.1,Patchy rain nearby,1.0,114.85,5.25,24.0,5.95
Kampala,Uganda,0.3156,32.5656,1765591200,18.3,4.3,Moderate or heavy rain with thunder,2.0,324.85,8.05,52.0,26.45
Algiers,Algeria,36.7631,3.0506,1765591200,6.2,7.2,Fog,2.0,240.85,47.15,10.0,18.45
Lagos,Nigeria,6.4531,3.3958,1765764900,27.3,20.5,Thundery outbreaks in nearby,2.0,294.85,7.35,49.0,15.95
Accra,Ghana,5.55,-0.2167,1765764900,27.1,15.8,Cloudy,1.0,235.85,15.05,33.0,12.75
Nairobi,Kenya,-1.2833,36.8167,1765764900,14.2,7.6,Mist,1.0,234.85,8.45,37.0,11.45
Johannesburg,South Africa,-26.2,28.0833,1765764900,15.1,4.3,Clear,2.0,190.85,38.85,12.0,24.85
Cairo,Egypt,30.05,31.25,1765764900,16.2,9.0,Mist,2.0,375.85,48.65,9.0,35.65
Casablanca,Morocco,33.5931,-7.6164,1765764900,12.1,22.7,Partly cloudy,1.0,133.85,5.85,47.0,11.35
Addis Ababa,Ethiopia,9.0333,38.7,1765764900,12.5,3.6,Clear,2.0,1035.85,10.85,45.0,30.25
Dar Es Salaam,Tanzania,-6.8,39.2833,1765764900,25.4,3.6,Patchy rain nearby,1.0,120.85,7.35,20.0,9.45
Kampala,Uganda,0.3156,32.5656,1765764900,18.3,3.6,Patchy rain nearby,3.0,692.85,16.35,32.0,47.65
Algiers,Algeria,36.7631,3.0506,1765764900,18.3,15.1,Partly cloudy,2.0,181.85,29.35,29.0,29.05
Lagos,Nigeria,6.4531,3.3958,1765936800,25.0,13.3,Partly Cloudy,2.0,320.85,6.85,59.0,17.35
Accra,Ghana,5.55,-0.2167,1765936800,27.0,15.5,Partly cloudy,2.0,215.85,8.85,64.0,15.55
Nairobi,Kenya,-1.2833,36.8167,1765936800,17.3,6.8,Partly cloudy,1.0,218.85,8.55,37.0,11.15
Johannesburg,South Africa,-26.2,28.0833,1765936800,17.0,7.6,Clear,2.0,322.85,41.45,34.0,38.15
Cairo,Egypt,30.05,31.25,1765936800,15.3,5.4,Partly cloudy,2.0,338.85,39.35,13.0,32.95
Casablanca,Morocco,33.5931,-7.6164,1765936800,14.0,34.6,Light rain shower,1.0,134.85,8.55,66.0,4.95
Addis Ababa,Ethiopia,9.0333,38.7,1765936800,13.2,6.8,Patchy rain nearby,3.0,877.85,13.05,33.0,41.35
Dar Es Salaam,Tanzania,-6.8,39.2833,1765936800,24.6,5.0,Patchy rain nearby,1.0,150.85,7.05,19.0,8.85
Kampala,Uganda,0.3156,32.5656,1765936800,21.1,3.6,Patchy light rain with thunder,2.0,557.85,7.95,36.0,22.65
Algiers,Algeria,36.7631,3.0506,1765936800,12.0,4.0,Partly cloudy,1.0,209.85,41.25,10.0,14.15
Lagos,Nigeria,6.4531,3.3958,1766109600,26.2,16.2,Clear,2.0,572.85,18.65,31.0,27.55
Accra,Ghana,5.55,-0.2167,1766109600,27.3,11.2,Partly Cloudy,1.0,219.85,14.05,34.0,11.95
Nairobi,Kenya,-1.2833,36.8167,1766109600,17.1,6.5,Partly cloudy,1.0,235.85,5.55,43.0,8.95
Johannesburg,South Africa,-26.2,28.0833,1766109600,15.0,14.0,Partly Cloudy,1.0,119.85,23.25,23.0,7.25
Cairo,Egypt,30.05,31.25,1766109600,10.3,10.8,Clear,2.0,280.85,34.15,40.0,26.95
Casablanca,Morocco,33.5931,-7.6164,1766109600,12.2,4.0,Partly Cloudy,2.0,206.85,18.45,21.0,19.65
Addis Ababa,Ethiopia,9.0333,38.7,1766109600,14.0,4.0,Partly cloudy,2.0,555.85,10.15,36.0,34.05
Dar Es Salaam,Tanzania,-6.8,39.2833,1766109600,24.4,3.6,Patchy rain nearby,1.0,157.85,8.55,22.0,13.15
Kampala,Uganda,0.3156,32.5656,1766109600,17.9,3.6,Light rain shower,2.0,505.85,8.15,51.0,26.55
Algiers,Algeria,36.7631,3.0506,1766109600,14.4,3.6,Partly cloudy,2.0,305.85,55.35,7.0,34.65
Lagos,Nigeria,6.4531,3.3958,1766283300,26.2,12.2,Partly Cloudy,2.0,340.85,6.65,51.0,17.85
Accra,Ghana,5.55,-0.2167,1766283300,28.3,10.4,Partly cloudy,1.0,216.85,9.05,47.0,13.25
Nairobi,Kenya,-1.2833,36.8167,1766283300,17.3,11.9,Partly cloudy,1.0,228.85,5.35,43.0,12.85
Johannesburg,South Africa,-26.2,28.0833,1766283300,17.3,11.5,Patchy rain nearby,2.0,173.85,18.55,57.0,22.25
Cairo,Egypt,30.05,31.25,1766283300,15.2,10.8,Overcast,2.0,523.85,63.35,10.0,18.45
Casablanca,Morocco,33.5931,-7.6164,1766283300,11.4,14.4,Clear,2.0,186.85,13.05,45.0,16.85
Addis Ababa,Ethiopia,9.0333,38.7,1766283300,14.4,7.2,Partly cloudy,2.0,632.85,7.35,43.0,22.35
Dar Es Salaam,Tanzania,-6.8,39.2833,1766283300,25.7,6.1,Patchy rain nearby,1.0,147.85,8.35,12.0,10.15
Kampala,Uganda,0.3156,32.5656,1766283300,20.3,3.6,Patchy light rain with thunder,3.0,483.85,16.25,27.0,53.35
Algiers,Algeria,36.7631,3.0506,1766283300,12.1,21.6,Partly cloudy,1.0,142.85,8.65,63.0,4.75
Lagos,Nigeria,6.4531,3.3958,1766455200,27.1,16.6,Partly Cloudy,2.0,300.85,8.35,52.0,24.55
Accra,Ghana,5.55,-0.2167,1766455200,26.3,13.7,Partly Cloudy,2.0,245.85,12.45,41.0,16.25
Nairobi,Kenya,-1.2833,36.8167,1766455200,15.2,8.3,Clear,1.0,244.85,8.05,37.0,11.35
Johannesburg,South Africa,-26.2,28.0833,1766455200,17.0,10.8,Cloudy,1.0,198.85,10.75,33.0,6.55
Cairo,Egypt,30.05,31.25,1766455200,13.1,7.6,Mist,2.0,522.85,60.45,1.0,37.55
Casablanca,Morocco,33.5931,-7.6164,1766455200,12.3,14.0,Patchy rain nearby,1.0,153.85,7.95,55.0,10.95
Addis Ababa,Ethiopia,9.0333,38.7,1766455200,13.0,4.7,Partly cloudy,1.0,1528.85,6.35,38.0,14.35
Dar Es Salaam,Tanzania,-6.8,39.2833,1766455200,26.1,12.6,Patchy rain nearby,1.0,144.85,3.25,49.0,10.15
Kampala,Uganda,0.3156,32.5656,1766455200,17.6,3.6,Partly Cloudy,3.0,366.85,16.05,27.0,52.35
Algiers,Algeria,36.7631,3.0506,1766455200,8.4,19.4,Patchy light rain with thunder,1.0,146.85,13.95,56.0,4.85
Lagos,Nigeria,6.4531,3.3958,1766628000,27.2,16.9,Cloudy,2.0,302.85,7.45,49.0,16.25
Accra,Ghana,5.55,-0.2167,1766628000,28.1,13.0,Patchy rain nearby,1.0,239.85,9.35,40.0,8.75
Nairobi,Kenya,-1.2833,36.8167,1766628000,17.3,6.5,Partly cloudy,1.0,233.85,6.25,45.0,12.55
Johannesburg,South Africa,-26.2,28.0833,1766628000,17.3,8.6,Patchy rain nearby,1.0,164.85,23.55,43.0,9.85
Cairo,Egypt,30.05,31.25,1766628000,12.3,9.4,Clear,2.0,235.85,26.35,41.0,23.85
Casablanca,Morocco,33.5931,-7.6164,1766628000,12.3,10.8,Patchy rain nearby,1.0,163.85,12.95,47.0,9.65
Addis Ababa,Ethiopia,9.0333,38.7,1766628000,12.3,4.0,Partly cloudy,2.0,1302.85,9.85,37.0,34.95
Dar Es Salaam,Tanzania,-6.8,39.2833,1766628000,26.1,14.8,Patchy rain nearby,1.0,158.85,2.75,44.0,8.45
Kampala,Uganda,0.3156,32.5656,1766628000,20.3,3.6,Clear,2.0,388.85,9.95,36.0,31.55
Algiers,Algeria,36.7631,3.0506,1766628000,7.2,4.7,Partly Cloudy,1.0,294.85,55.55,6.0,12.35
Lagos,Nigeria,6.4531,3.3958,1766800800,27.2,18.7,Thundery outbreaks in nearby,1.0,283.85,5.15,57.0,14.85
Accra,Ghana,5.55,-0.2167,1766800800,27.4,18.7,Partly cloudy,1.0,201.85,6.65,49.0,9.95
Nairobi,Kenya,-1.2833,36.8167,1766800800,15.7,4.7,Clear,2.0,279.85,11.65,37.0,16.15
Johannesburg,South Africa,-26.2,28.0833,1766800800,15.3,6.8,Clear,2.0,209.85,30.85,44.0,26.25
Cairo,Egypt,30.05,31.25,1766800800,13.2,6.1,Mist,3.0,483.85,48.95,1.0,41.65
Casablanca,Morocco,33.5931,-7.6164,1766800800,13.3,24.8,Light rain shower,1.0,156.85,4.05,57.0,7.95
Addis Ababa,Ethiopia,9.0333,38.7,1766800800,14.3,3.6,Clear,2.0,1312.85,13.55,50.0,40.05
Dar Es Salaam,Tanzania,-6.8,39.2833,1766800800,26.1,11.2,Patchy rain nearby,1.0,137.85,3.05,47.0,11.35
Kampala,Uganda,0.3156,32.5656,1766800800,18.4,3.6,Clear,2.0,282.85,8.25,53.0,31.55
Algiers,Algeria,36.7631,3.0506,1766800800,11.2,12.6,Light rain,1.0,180.85,31.45,25.0,8.05
Lagos,Nigeria,6.4531,3.3958,1766974500,27.2,12.2,Cloudy,1.0,248.85,5.85,56.0,14.75
Accra,Ghana,5.55,-0.2167,1766974500,27.2,15.1,Partly Cloudy,1.0,212.85,8.35,44.0,8.25
Nairobi,Kenya,-1.2833,36.8167,1766974500,15.2,6.5,Patchy light rain,2.0,694.85,34.75,10.0,38.85
Johannesburg,South Africa,-26.2,28.0833,1766974500,13.4,8.6,Clear,2.0,465.85,27.95,42.0,26.85
Cairo,Egypt,30.05,31.25,1766974500,13.1,11.5,Partly Cloudy,2.0,483.85,63.15,2.0,24.05
Casablanca,Morocco,33.5931,-7.6164,1766974500,14.2,23.8,Light rain shower,1.0,154.85,4.65,48.0,7.05
Addis Ababa,Ethiopia,9.0333,38.7,1766974500,14.0,3.6,Partly cloudy,2.0,813.85,9.25,47.0,31.95
Dar Es Salaam,Tanzania,-6.8,39.2833,1766974500,24.6,7.6,Partly Cloudy,1.0,130.85,3.65,47.0,7.85
Kampala,Uganda,0.3156,32.5656,1766974500,21.2,7.2,Patchy light rain with thunder,2.0,287.85,6.85,63.0,28.05
Algiers,Algeria,36.7631,3.0506,1766974500,14.3,7.9,Partly cloudy,1.0,177.85,27.65,16.0,9.45
Lagos,Nigeria,6.4531,3.3958,1767147300,27.0,15.1,Clear,2.0,350.85,14.55,35.0,19.95
Accra,Ghana,5.55,-0.2167,1767147300,27.0,11.5,Partly cloudy,2.0,270.85,22.45,31.0,18.25
Nairobi,Kenya,-1.2833,36.8167,1767147300,17.3,6.1,Partly cloudy,2.0,388.85,15.05,41.0,24.85
Johannesburg,South Africa,-26.2,28.0833,1767147300,15.3,6.8,Clear,3.0,248.85,44.95,44.0,53.35
Cairo,Egypt,30.05,31.25,1767147300,14.1,16.6,Clear,2.0,285.85,46.35,42.0,17.55
Casablanca,Morocco,33.5931,-7.6164,1767147300,13.1,21.6,Patchy rain nearby,2.0,233.85,20.35,23.0,23.75
Addis Ababa,Ethiopia,9.0333,38.7,1767147300,13.2,5.0,Partly cloudy,2.0,456.85,9.35,37.0,29.95
Dar Es Salaam,Tanzania,-6.8,39.2833,1767147300,24.9,4.3,Partly Cloudy,2.0,158.85,8.55,22.0,17.35
Kampala,Uganda,0.3156,32.5656,1767147300,17.0,3.6,Clear,4.0,352.85,16.85,45.0,70.45
Algiers,Algeria,36.7631,3.0506,1767147300,8.2,8.6,Clear,1.0,190.85,31.45,25.0,10.05
Lagos,Nigeria,6.4531,3.3958,1767234600,27.0,14.8,Mist,1.0,289.85,5.65,50.0,13.95
Accra,Ghana,5.55,-0.2167,1767234600,26.1,17.6,Cloudy,1.0,210.85,8.95,39.0,9.65
Nairobi,Kenya,-1.2833,36.8167,1767234600,17.1,6.8,Partly cloudy,2.0,268.85,12.55,37.0,18.45
Johannesburg,South Africa,-26.2,28.0833,1767233700,14.2,8.3,Clear,2.0,234.85,28.65,41.0,28.05
Cairo,Egypt,30.05,31.25,1767234600,14.3,10.4,Partly Cloudy,2.0,223.85,31.55,24.0,19.45
Casablanca,Morocco,33.5931,-7.6164,1767234600,15.1,11.9,Clear,1.0,145.85,4.95,57.0,7.85
Addis Ababa,Ethiopia,9.0333,38.7,1767234600,11.7,4.3,Patchy rain nearby,2.0,1049.85,9.65,40.0,36.95
Dar Es Salaam,Tanzania,-6.8,39.2833,1767234600,24.8,5.0,Light rain shower,2.0,184.85,8.45,24.0,16.75
Kampala,Uganda,0.3156,32.5656,1767233700,18.4,6.1,Clear,2.0,539.85,8.35,65.0,38.35
Algiers,Algeria,36.7631,3.0506,1767233700,9.3,6.8,Patchy rain nearby,2.0,227.85,42.75,16.0,16.15
Lagos,Nigeria,6.4531,3.3958,1767405600,27.2,13.7,Patchy rain nearby,2.0,296.85,9.75,57.0,16.25
Accra,Ghana,5.55,-0.2167,1767405600,27.1,16.2,Partly cloudy,1.0,219.85,8.85,49.0,10.15
Nairobi,Kenya,-1.2833,36.8167,1767405600,16.3,9.0,Partly cloudy,2.0,283.85,10.25,37.0,16.05
Johannesburg,South Africa,-26.2,28.0833,1767405600,15.2,6.1,Clear,2.0,223.85,26.35,30.0,19.55
Cairo,Egypt,30.05,31.25,1767405600,8.3,10.4,Clear,3.0,740.85,55.25,4.0,64.45
Casablanca,Morocco,33.5931,-7.6164,1767405600,14.2,40.7,Moderate rain,1.0,118.85,2.55,55.0,10.15
Addis Ababa,Ethiopia,9.0333,38.7,1767405600,11.3,3.6,Clear,2.0,517.85,8.65,36.0,28.35
Dar Es Salaam,Tanzania,-6.8,39.2833,1767405600,26.3,14.8,Partly Cloudy,1.0,138.85,3.55,46.0,11.95
Kampala,Uganda,0.3156,32.5656,1767405600,21.1,3.6,Fog,2.0,379.85,6.85,58.0,19.95
Algiers,Algeria,36.7631,3.0506,1767405600,15.2,16.2,Partly cloudy,1.0,154.85,21.75,33.0,10.05
Lagos,Nigeria,6.4531,3.3958,1767580200,27.2,13.7,Thundery outbreaks in nearby,2.0,342.85,7.35,56.0,16.65
Accra,Ghana,5.55,-0.2167,1767580200,26.2,12.6,Partly Cloudy,1.0,301.85,10.25,45.0,9.95
Nairobi,Kenya,-1.2833,36.8167,1767580200,14.7,6.8,Clear,2.0,270.85,17.35,33.0,25.05
Johannesburg,South Africa,-26.2,28.0833,1767580200,13.2,11.2,Partly Cloudy,1.0,177.85,7.45,63.0,7.05
Cairo,Egypt,30.05,31.25,1767580200,10.3,4.0,Mist,3.0,708.85,61.15,4.0,48.65
Casablanca,Morocco,33.5931,-7.6164,1767580200,14.3,11.9,Light rain shower,1.0,137.85,6.25,47.0,7.55
Addis Ababa,Ethiopia,9.0333,38.7,1767580200,8.3,4.0,Clear,2.0,596.85,8.45,38.0,25.35
Dar Es Salaam,Tanzania,-6.8,39.2833,1767580200,26.3,17.3,Patchy rain nearby,2.0,121.85,2.55,57.0,15.95
Kampala,Uganda,0.3156,32.5656,1767580200,22.0,3.6,Clear,2.0,408.85,4.85,64.0,16.75
Algiers,Algeria,36.7631,3.0506,1767580200,12.2,3.6,Partly cloudy,2.0,227.85,42.45,8.0,24.35
Lagos,Nigeria,6.4531,3.3958,1767752100,27.0,16.9,Patchy rain nearby,2.0,268.85,5.25,64.0,16.45
Accra,Ghana,5.55,-0.2167,1767752100,28.2,19.1,Partly cloudy,1.0,170.85,5.65,44.0,7.85
Nairobi,Kenya,-1.2833,36.8167,1767752100,15.2,6.8,Clear,1.0,228.85,8.35,46.0,12.05
Johannesburg,South Africa,-26.2,28.0833,1767752100,15.4,4.0,Clear,3.0,550.85,58.15,3.0,50.75
Cairo,Egypt,30.05,31.25,1767752100,16.4,6.1,Clear,3.0,775.85,70.25,7.0,47.55
Casablanca,Morocco,33.5931,-7.6164,1767752100,9.4,4.0,Patchy rain nearby,2.0,209.85,20.15,37.0,15.55
Addis Ababa,Ethiopia,9.0333,38.7,1767752100,8.3,3.6,Clear,2.0,633.85,7.25,46.0,21.95
Dar Es Salaam,Tanzania,-6.8,39.2833,1767752100,26.2,19.4,Patchy rain nearby,1.0,121.85,2.25,57.0,9.75
Kampala,Uganda,0.3156,32.5656,1767752100,18.8,3.6,Clear,2.0,309.85,6.35,63.0,21.05
Algiers,Algeria,36.7631,3.0506,1767752100,7.4,6.8,Light rain,1.0,154.85,14.15,65.0,4.35
Lagos,Nigeria,6.4531,3.3958,1767924900,28.0,16.9,Partly Cloudy,1.0,269.85,6.15,54.0,12.55
Accra,Ghana,5.55,-0.2167,1767924900,26.9,16.2,Partly Cloudy,1.0,232.85,8.35,46.0,10.05
Nairobi,Kenya,-1.2833,36.8167,1767924900,16.0,13.3,Clear,1.0,225.85,6.25,61.0,11.05
